"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.065602458E0,-2.902221680E-1,4.969404638E-2,9.277573824E-1
2.075640458E0,-3.933125362E-2,-1.736129671E-1,8.385113478E-1
2.085678458E0,1.303688288E-1,-2.378585339E-1,7.861980796E-1
2.095716458E0,1.163137406E-1,-1.077921316E-1,8.001909256E-1
2.105753458E0,-9.158059955E-2,1.860974729E-2,8.262004256E-1
2.115791458E0,-2.523950636E-1,9.619298577E-2,7.982801795E-1
2.125829458E0,-8.552695811E-2,3.986739740E-2,8.038682938E-1
2.135866458E0,4.714064598E-1,-7.837526500E-2,7.458446622E-1
2.145904458E0,5.676748753E-1,-2.526666224E-1,8.257714510E-1
2.155942458E0,2.358353697E-2,-2.083903551E-1,7.571779490E-1
2.165979458E0,-2.830035686E-1,-1.699990034E-2,6.391935349E-1
2.176017458E0,-1.005498618E-1,3.767212480E-2,7.727035284E-1
2.186055458E0,4.555645287E-1,6.310265511E-2,6.856048703E-1
2.196092458E0,5.014550686E-1,-5.089634284E-2,7.872684002E-1
2.206130458E0,1.252670288E-1,-3.400284797E-2,6.431620717E-1
2.216168458E0,-2.531023920E-1,8.297223598E-2,7.118091583E-1
2.226206458E0,-2.003558129E-1,1.999049932E-1,7.341184616E-1
2.236243458E0,1.839388460E-1,1.702695787E-1,7.012699246E-1
2.246281458E0,8.058689535E-2,4.502297565E-2,6.519463062E-1
2.256319458E0,-2.554174662E-1,-5.665997416E-2,5.570743680E-1
2.266356458E0,-6.921777129E-2,-3.874009475E-2,5.499739051E-1
2.276394458E0,1.762360632E-1,4.640476778E-2,6.070196033E-1
2.286432458E0,1.987078190E-1,6.504343450E-2,5.432488322E-1
2.296469458E0,1.221527085E-1,-5.872713029E-2,4.580154419E-1
2.306507458E0,1.413575709E-1,-1.478053331E-1,4.791569412E-1
2.316545458E0,2.297729403E-1,-1.005525663E-1,5.199033022E-1
2.326582458E0,2.579955161E-1,-4.339260980E-2,5.686401725E-1
2.336620458E0,6.558638811E-2,6.153113674E-3,5.888512135E-1
2.346658458E0,-1.229004338E-1,3.832756355E-2,6.007220149E-1
2.356696458E0,-6.319361273E-3,6.056667492E-2,6.039368510E-1
2.366733458E0,8.208347112E-2,2.731364779E-2,5.409256816E-1
2.376771458E0,-7.249705493E-2,4.041238129E-2,4.089995325E-1
2.386809458E0,-1.529152095E-1,1.377988607E-1,3.618618548E-1
2.396846458E0,-1.045589745E-1,1.011131927E-1,3.578955233E-1
2.406884458E0,8.791300654E-2,3.788255528E-2,2.074655294E-1
2.416922458E0,1.166957691E-1,5.484912917E-2,1.693724692E-1
2.426959458E0,-5.595908687E-2,1.618469507E-1,2.162691355E-1
2.436997458E0,-1.470146924E-1,1.278604865E-1,1.723827571E-1
2.447035458E0,3.706539422E-2,-2.065255865E-2,1.251867563E-1
2.457073458E0,2.252311856E-1,-3.006825969E-2,8.009787649E-2
2.467110458E0,1.699089818E-2,1.265896391E-2,1.580709666E-1
2.477148458E0,-1.705766171E-1,-4.573807865E-2,1.378344148E-1
2.487186458E0,6.669159234E-2,-8.762960136E-2,1.094821319E-1
2.497223458E0,2.391532511E-1,5.553233903E-3,1.367177665E-1
2.507261750E0,2.022567540E-1,1.361671686E-1,1.635885239E-1
2.517299750E0,6.828735024E-2,2.298407406E-1,1.408080310E-1
2.527336750E0,-5.028942600E-3,1.984079927E-1,1.566011161E-1
2.537374750E0,-2.096955292E-2,8.821625262E-2,1.859368235E-1
2.547412750E0,4.963537306E-2,1.000209823E-1,1.651862711E-1
2.557449750E0,4.372156411E-2,2.060547620E-1,2.294575721E-1
