"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.639469731E2,-7.942483521E-1,4.376449127E0,8.667875061E0
1.639570101E2,-1.070274353E0,3.945195923E0,9.846823425E0
1.639670471E2,-5.804928589E-1,1.552721100E0,1.020652542E1
1.639770841E2,-3.215313721E-1,3.326083374E-1,9.938881989E0
1.639871211E2,2.186952209E-1,2.025438080E0,9.339827728E0
1.639971591E2,2.332150269E-1,4.261787567E0,9.276808777E0
1.640071961E2,2.047741699E-1,3.830983429E0,9.266180878E0
1.640172321E2,5.935157776E-1,1.939816132E0,8.773854675E0
1.640272701E2,5.330415344E-1,1.402134247E0,9.215885468E0
1.640373071E2,-1.507365417E-1,2.870131531E0,9.503736877E0
1.640473441E2,-1.522334290E0,3.442541199E0,1.110031677E1
1.640573811E2,-1.312171326E0,2.141147461E0,1.193782516E1
1.640674181E2,-5.228627014E-1,1.453327789E0,1.073896820E1
1.640774551E2,5.165757751E-1,3.329975281E0,8.089328156E0
1.640874921E2,1.977388000E-1,5.227579193E0,7.670050049E0
1.640975291E2,-1.657203827E0,5.258864136E0,7.577841797E0
1.641075661E2,-1.535357208E0,3.158282318E0,7.319179688E0
1.641176031E2,-5.430706787E-1,1.604064331E0,8.439450073E0
1.641276401E2,1.193019104E-1,1.897154846E0,1.062385757E1
1.641376771E2,8.234376526E-1,2.215991821E0,1.241847565E1
1.641477141E2,7.048841858E-1,1.855391693E0,1.334834198E1
1.641577511E2,4.737648010E-1,2.084265747E0,1.152438492E1
1.641677881E2,1.193168793E0,3.487896881E0,9.339079285E0
1.641778251E2,1.595681763E0,4.900209961E0,7.113208008E0
1.641878621E2,8.608598328E-1,3.803889771E0,7.394772491E0
1.641978991E2,2.613565063E-1,9.139993286E-1,8.890162811E0
1.642079361E2,-2.171983337E-1,3.704795837E-1,9.946815491E0
1.642179731E2,5.677693176E-1,2.390678558E0,8.909173279E0
1.642280101E2,5.294490051E-1,3.451672211E0,8.441246338E0
1.642380471E2,-1.706451416E-2,4.525090027E-1,1.123788071E1
1.642480841E2,-4.526586914E-1,-2.109413452E0,1.333531906E1
1.642581211E2,-3.296145630E-1,1.153501282E0,1.222103622E1
1.642681581E2,1.071771240E0,6.697971497E0,8.808732147E0
1.642781951E2,6.231541443E-1,7.808212738E0,6.436165924E0
1.642882321E2,-1.363664246E-1,2.422412567E0,7.717351685E0
1.642982691E2,4.034111023E-1,-1.763333130E0,9.864786072E0
1.643083061E2,1.277892609E0,5.818400574E-1,1.117516113E1
1.643183431E2,7.403604126E-1,4.884492645E0,1.113893646E1
1.643283801E2,-3.251239014E-1,4.746329956E0,9.563163300E0
1.643384171E2,-1.790277100E-1,1.532962189E0,8.567433929E0
1.643484541E2,-1.413061523E-1,7.589218140E-1,9.183702393E0
1.643584911E2,-3.682342529E-1,3.392395477E0,9.124425659E0
1.643685281E2,-1.529669037E0,4.661007385E0,9.563911743E0
1.643785651E2,-1.437909851E0,1.684297485E0,1.179457306E1
1.643886021E2,-5.545967102E-1,-2.057471466E0,1.233225494E1
1.643986391E2,-6.376739502E-2,-7.619155884E-2,9.343420258E0
1.644086761E2,4.854405212E-1,4.881648560E0,8.477321320E0
1.644187131E2,-1.197509766E-2,6.495143280E0,9.547745361E0
1.644287501E2,-5.450166321E-1,2.558479614E0,8.882678375E0
1.644387871E2,-4.966671753E-1,-1.041384430E0,8.460406494E0
1.644488241E2,3.727249146E-1,8.701405334E-1,8.619525604E0
1.644588611E2,-2.796185303E-1,6.519991608E0,8.015082550E0
1.644688981E2,-1.409019928E0,7.214247894E0,8.201894073E0
1.644789351E2,-1.249451752E0,2.255659332E0,9.496551819E0
1.644889721E2,-2.418969727E-1,-1.638343048E0,1.146510818E1
1.644990091E2,8.439450073E-1,-1.309776306E-1,1.235635483E1
1.645090461E2,1.633103943E-1,5.280269623E0,9.690698090E0
1.645190831E2,-5.598358154E-2,7.612868958E0,6.021528168E0
1.645291201E2,-4.851411438E-1,4.838238831E0,6.034102020E0
1.645391571E2,-7.592211914E-1,2.399510193E-1,8.656349030E0
1.645491941E2,-7.024891663E-1,-1.482367401E0,1.175864777E1
1.645592311E2,-9.081614685E-1,1.803599396E0,1.224902802E1
1.645692681E2,-7.800279236E-1,5.071453857E0,1.078731766E1
1.645793051E2,-9.750723267E-1,5.701044617E0,8.537645874E0
1.645893421E2,-7.105723572E-1,3.001857605E0,8.693172455E0
1.645993791E2,-1.121168518E0,8.764274597E-1,9.779613190E0
1.646094161E2,-7.435038757E-1,1.747765503E0,8.797056427E0
1.646194531E2,-2.095642090E-3,3.385210419E0,9.100176086E0
1.646294901E2,-5.679190063E-1,3.048710175E0,1.099613342E1
1.646395271E2,-4.297563171E-1,7.773335266E-1,1.162482605E1
1.646495641E2,-8.581654358E-1,3.790118408E-1,1.166015259E1
1.646596011E2,-3.968247986E-1,2.611020355E0,8.938362579E0
1.646696381E2,-4.222718811E-1,4.504283295E0,6.836732941E0
1.646796751E2,-1.336570587E0,3.943549347E0,7.904761963E0
1.646897121E2,-1.919608154E0,2.750380554E0,8.235124969E0
1.646997491E2,-1.945803680E0,2.821482697E0,8.425079956E0
1.647097871E2,-6.724017334E-1,4.252057800E0,8.492439880E0
1.647198241E2,-1.507365417E-1,5.299729156E0,8.654552765E0
1.647298611E2,-8.382568359E-1,2.897075500E0,8.802894287E0
1.647398981E2,-1.933229828E0,-9.479786682E-1,1.049826874E1
1.647499351E2,-1.421743469E0,-4.581971741E-1,1.139295822E1
1.647599721E2,-1.286574554E0,3.841162262E0,1.199365906E1
1.647700091E2,-1.854792938E0,6.549480286E0,1.038869659E1
1.647800461E2,-1.729353790E0,4.593198395E0,7.460485840E0
1.647900831E2,-1.586550751E0,2.494562531E0,6.383625183E0
1.648001201E2,-1.594184875E-1,1.808389435E0,8.118966522E0
1.648101571E2,-1.305285645E-1,2.707120514E0,1.124506577E1
1.648201941E2,-1.793270874E-1,2.467019806E0,1.301738022E1
1.648302311E2,1.300944672E0,2.882256317E0,8.724008331E0
1.648402681E2,1.154549103E0,3.713178406E0,6.887627106E0
1.648503051E2,-1.471440125E-1,2.693798218E0,8.425529022E0
1.648603421E2,-1.404379578E0,-7.628137207E-1,1.290855652E1
1.648703791E2,-7.550299072E-1,-2.102378082E0,1.365580261E1
1.648804161E2,4.770579529E-1,4.125421143E-1,1.163635208E1
1.648904531E2,4.064048767E-1,5.097350006E0,7.285350037E0
1.649004901E2,-1.088985443E0,4.584366760E0,7.969876556E0
1.649105271E2,-2.305954742E0,8.054750061E-1,1.057356216E1
1.649205641E2,-4.480183411E-1,-1.298549652E0,1.032178574E1
1.649306005E2,6.921606445E-1,1.772763519E0,9.462273102E0
1.649406375E2,1.092727661E-1,5.859564972E0,6.169720001E0
1.649506745E2,-5.056484985E-1,5.328170013E0,5.725743256E0
1.649607115E2,-9.960287476E-1,1.850451965E0,8.704997864E0
1.649707485E2,1.550775146E-1,-1.472038879E0,1.257055939E1
1.649807855E2,5.643264771E-2,8.524772644E-1,1.306767563E1
1.649908225E2,-1.454375610E0,5.302423553E0,9.792486420E0
1.650008595E2,-1.304537201E0,5.541027374E0,9.364676056E0
1.650108965E2,-1.601220245E0,3.226240997E0,9.721983032E0
1.650209335E2,-8.324189758E-1,1.754950562E0,8.559051361E0
1.650309705E2,8.433462524E-1,3.788920898E0,7.069349213E0
1.650410075E2,-4.252656555E-1,4.626129913E0,8.470136261E0
1.650510445E2,-2.015408936E0,2.818039856E0,9.828711090E0
1.650610815E2,-9.809101868E-1,-2.571652222E-1,1.017913239E1
