"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.635877458E2,-3.623963928E-1,3.021466827E0,8.716673584E0
3.635977858E2,-2.314187622E-1,5.550906830E0,7.468868408E0
3.636078258E2,-2.294728088E-1,4.444407806E0,8.713679810E0
3.636178658E2,-7.101232910E-1,2.164798279E0,1.105017105E1
3.636279058E2,-1.624122620E-1,1.585802307E0,1.104897354E1
3.636379458E2,3.499722290E-1,3.644171906E0,1.023511597E1
3.636479858E2,-9.312135315E-1,5.878276062E0,9.265282745E0
3.636580258E2,-1.260828094E0,4.297114105E0,1.028586044E1
3.636680658E2,-1.285526733E0,1.794169006E0,1.075288925E1
3.636781058E2,-1.444645844E0,2.013612671E0,1.027912445E1
3.636881458E2,-1.847158813E-1,4.491709442E0,8.657696228E0
3.636981858E2,1.219963074E-1,7.967481537E0,2.627635803E0
3.637082258E2,-4.156855774E-1,5.915847931E0,5.386099548E0
3.637182658E2,-2.758763123E-1,1.769170990E0,8.620124359E0
3.637283058E2,8.669970703E-1,-6.827302551E-1,1.336465805E1
3.637383458E2,8.068222046E-1,1.504970398E0,1.304836578E1
3.637483858E2,-1.486259308E0,5.193450165E0,9.656419373E0
3.637584258E2,-2.821482697E0,5.306764526E0,8.427474976E0
3.637684654E2,-2.448009338E0,3.797004089E0,9.257648621E0
3.637785054E2,-1.137035522E0,1.847308502E0,1.115854568E1
3.637885454E2,-1.336720276E-1,2.216590576E0,9.070986786E0
3.637985854E2,-7.535330200E-1,3.878883820E0,6.022276611E0
3.638086254E2,-1.989363098E0,4.130660248E0,8.539142761E0
3.638186654E2,-2.220632172E0,3.387306061E0,1.056622742E1
3.638287054E2,-1.080153809E0,1.805695038E0,1.280856445E1
3.638387454E2,8.382568359E-2,2.878214722E0,1.088641159E1
3.638487854E2,-6.286926270E-2,4.849315796E0,9.069489899E0
3.638588254E2,-8.728349304E-1,5.627248077E0,8.192313995E0
3.638688654E2,-2.107766876E0,4.611909485E0,8.137378235E0
3.638789054E2,-2.892435150E0,3.252137146E0,8.674161987E0
3.638889454E2,-1.666484528E0,2.598895569E0,9.207652588E0
3.638989854E2,-4.358935547E-1,2.899320831E0,1.013931519E1
3.639090254E2,-8.924441528E-1,4.097728729E0,9.387728119E0
3.639190654E2,-1.396446075E0,3.709286499E0,9.837991791E0
3.639291054E2,-1.622775421E0,3.950884094E0,9.985285492E0
3.639391454E2,-9.315129089E-1,4.264332275E0,9.660910034E0
3.639491854E2,1.589694214E-1,4.164340210E0,9.040749664E0
3.639592254E2,1.637594604E-1,3.337160339E0,9.226213989E0
3.639692654E2,-5.640270996E-1,2.750081177E0,8.903634796E0
3.639793054E2,-1.299597473E0,3.128643951E0,9.159901886E0
3.639893454E2,-1.044976959E0,2.287692719E0,9.736652527E0
3.639993854E2,-1.090632019E0,1.194066925E0,8.797206116E0
3.640094254E2,-1.487905884E0,9.349557495E-1,8.550519104E0
3.640194654E2,-1.062640228E0,2.035766602E0,9.313931580E0
3.640295054E2,-1.172960815E0,5.843548279E0,8.760981445E0
3.640395454E2,-7.776329041E-1,6.289171600E0,9.098230133E0
3.640495854E2,-7.488926697E-1,3.229534149E0,1.085916824E1
3.640596254E2,-1.626667328E0,8.042774963E-1,1.089629105E1
3.640696654E2,-9.743238831E-1,1.379830627E0,9.941875763E0
3.640797054E2,-6.251000977E-1,4.252806244E0,1.189231979E1
3.640897464E2,-3.565585327E-1,5.485343170E0,1.106783432E1
3.640997864E2,-5.288502502E-1,4.159999237E0,8.046666870E0
3.641098264E2,-7.676037598E-1,2.662662964E0,6.550827484E0
3.641198664E2,1.129251709E0,3.955225067E0,4.688101044E0
3.641299064E2,1.407972107E0,5.551056519E0,7.039112091E0
3.641399464E2,9.415420532E-2,3.477718048E0,1.151630173E1
3.641499864E2,-1.649420013E0,-1.287322998E-1,1.275288025E1
3.641600264E2,-2.791395264E0,-2.333647156E-1,1.242790604E1
3.641700664E2,-1.080902252E0,3.572620697E0,9.668244781E0
3.641801064E2,5.794450378E-1,6.674470367E0,6.651418304E0
3.641901464E2,3.388952637E-1,5.476960602E0,5.950725403E0
3.642001864E2,-1.799258423E-1,1.438658295E0,8.581654358E0
3.642102264E2,-5.249583435E-1,1.969903564E-1,1.159907959E1
3.642202664E2,3.562591553E-2,3.481609955E0,1.070783295E1
3.642303064E2,4.032614136E-1,5.757477264E0,9.696386261E0
3.642403464E2,-4.025129700E-1,4.517904968E0,9.539512482E0
3.642503864E2,-5.125341797E-1,2.069296875E0,9.112600250E0
3.642604264E2,1.248403931E-1,1.682501221E0,8.181985474E0
3.642704664E2,-4.730163574E-2,4.349205780E0,6.961423645E0
3.642805064E2,-4.528083801E-1,5.742358704E0,6.013444977E0
3.642905464E2,-1.592687988E-1,4.162094879E0,7.331005096E0
3.643005864E2,6.795867920E-2,9.098080444E-1,1.091470276E1
3.643106264E2,1.754351807E-1,4.797523499E-1,1.350641327E1
3.643206664E2,-1.167572021E-1,3.736529846E0,1.214529373E1
3.643307064E2,-8.729846191E-1,7.271279297E0,9.282646637E0
3.643407474E2,-5.809419250E-1,6.352489929E0,8.368198242E0
3.643507874E2,1.712438965E-1,3.298540649E0,7.775879974E0
3.643608274E2,8.159532166E-1,1.179696808E0,9.435778198E0
3.643708674E2,4.546046448E-1,3.152145081E0,9.033115540E0
3.643809074E2,-1.353335724E0,6.292315063E0,9.070238342E0
3.643909474E2,-1.758842468E0,5.086123352E0,1.025068359E1
3.644009874E2,-1.754351807E0,2.209555206E0,1.046668442E1
3.644110274E2,-1.223705292E0,1.365610199E0,1.043824356E1
3.644210674E2,2.034269714E-1,2.404000854E0,8.966054993E0
3.644311074E2,-6.686595154E-1,5.464237061E0,6.867718506E0
3.644411474E2,-1.316512299E0,4.634512482E0,8.493637390E0
3.644511874E2,-1.227447510E0,2.333946533E0,1.016131943E1
3.644612274E2,-6.936575317E-1,2.478396149E0,9.470505981E0
3.644712674E2,9.595046997E-1,3.291355591E0,7.251819763E0
3.644813074E2,9.526190186E-1,4.009562073E0,6.014193420E0
3.644913474E2,3.132984924E-1,2.374811554E0,8.649762726E0
