"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
6.777525866E1,4.816359611E1,1.155701953E1,5.138656884E2,5.160619259E0,1.111398478E1,6.000906205E0,6.000906205E0
6.877525365E1,4.816364812E1,1.155704012E1,5.137489037E2,4.827993393E0,1.649203475E1,4.000604137E0,4.000604137E0
6.977524745E1,4.816368931E1,1.155705760E1,5.136575194E2,4.832014561E0,1.514198297E1,4.000604137E0,4.000604137E0
7.077526057E1,4.816373160E1,1.155707318E1,5.135985580E2,4.832014561E0,1.306500697E1,4.000604137E0,4.000604137E0
7.177523804E1,4.816378867E1,1.155710478E1,5.135615705E2,4.936703682E0,1.499437234E1,4.000604137E0,4.000604137E0
7.277523303E1,4.816384019E1,1.155712356E1,5.135384809E2,4.936703682E0,9.627568277E0,4.000604137E0,4.000604137E0
7.377522898E1,4.816389598E1,1.155711124E1,5.135240320E2,5.397054195E0,8.212096522E-1,6.000906205E0,6.000906205E0
7.477522504E1,4.816395108E1,1.155710419E1,5.135150066E2,5.397054195E0,3.509911271E2,6.000906205E0,6.000906205E0
7.577522123E1,4.816399687E1,1.155708771E1,5.135093799E2,5.278129578E0,3.481439218E2,6.000906205E0,6.000906205E0
7.677521729E1,4.816404364E1,1.155706509E1,5.135058509E2,5.016146183E0,1.212635456E1,6.000906205E0,6.000906205E0
7.777521324E1,4.816408304E1,1.155707073E1,5.135036853E2,4.157229900E0,2.969710585E1,8.001208274E0,8.001208274E0
7.877521014E1,4.816412602E1,1.155711423E1,5.135023152E2,4.170184612E0,4.721910239E1,8.001208274E0,8.001208274E0
7.977520633E1,4.816415271E1,1.155716888E1,5.135014640E2,4.551593304E0,6.254005340E1,8.001208274E0,8.001208274E0
8.077520335E1,4.816418163E1,1.155722746E1,5.135008845E2,4.551593304E0,7.440508920E1,6.000906205E0,6.000906205E0
8.177520049E1,4.816419870E1,1.155729784E1,5.135005519E2,4.551593304E0,7.530919451E1,6.000906205E0,6.000906205E0
8.277519739E1,4.816421608E1,1.155736771E1,5.135003539E2,4.533160686E0,7.595663497E1,6.000906205E0,6.000906205E0
8.377519441E1,4.816423421E1,1.155744031E1,5.135002242E2,4.694464207E0,7.815618128E1,6.000906205E0,6.000906205E0
8.477519155E1,4.816424682E1,1.155751405E1,5.135001563E2,4.694464207E0,7.857596470E1,6.000906205E0,6.000906205E0
8.577518880E1,4.816425163E1,1.155759106E1,5.135000946E2,4.694464207E0,7.878192223E1,6.000906205E0,6.000906205E0
8.677518547E1,4.816425737E1,1.155767092E1,5.135000884E2,4.603580475E0,8.552617396E1,6.000906205E0,6.000906205E0
8.777518284E1,4.816425644E1,1.155773189E1,5.135000329E2,4.470821381E0,8.784006446E1,6.000906205E0,6.000906205E0
8.877518046E1,4.816426153E1,1.155779771E1,5.135000273E2,4.392237186E0,8.723808574E1,6.000906205E0,6.000906205E0
8.977517867E1,4.816426714E1,1.155786495E1,5.135000268E2,4.451250553E0,7.411897940E1,6.000906205E0,6.000906205E0
9.077517617E1,4.816428107E1,1.155792815E1,5.135000267E2,4.451250553E0,6.586982526E1,6.000906205E0,6.000906205E0
9.177517402E1,4.816430775E1,1.155799312E1,5.135000267E2,4.720616341E0,6.692920126E1,6.000906205E0,6.000906205E0
9.277517068E1,4.816432765E1,1.155804779E1,5.135000267E2,4.844810009E0,6.822839886E1,6.000906205E0,6.000906205E0
9.377516890E1,4.816434320E1,1.155810281E1,5.135000267E2,5.189121246E0,7.046357827E1,6.000906205E0,6.000906205E0
9.477516735E1,4.816435870E1,1.155817460E1,5.135000267E2,5.248335361E0,7.092981381E1,6.000906205E0,6.000906205E0
9.577516496E1,4.816437116E1,1.155825494E1,5.135000267E2,5.189121246E0,7.111347077E1,6.000906205E0,6.000906205E0
9.677516305E1,4.816438418E1,1.155832453E1,5.135000267E2,4.792941093E0,7.067299870E1,6.000906205E0,6.000906205E0
9.777516031E1,4.816438792E1,1.155839651E1,5.135000267E2,4.777708530E0,7.321955960E1,6.000906205E0,6.000906205E0
9.877515852E1,4.816439386E1,1.155846454E1,5.135000267E2,4.593572617E0,7.432684255E1,6.000906205E0,6.000906205E0
9.977515686E1,4.816440552E1,1.155852086E1,5.135000267E2,4.635167122E0,7.396355162E1,6.000906205E0,6.000906205E0
1.007751548E2,4.816441932E1,1.155859162E1,5.135000267E2,4.635167122E0,7.528504979E1,6.000906205E0,6.000906205E0
1.017751530E2,4.816442584E1,1.155865850E1,5.135000267E2,4.710112095E0,7.585530911E1,6.000906205E0,6.000906205E0
1.027751514E2,4.816443627E1,1.155871566E1,5.135000267E2,4.924805641E0,8.040821759E1,6.000906205E0,6.000906205E0
1.037751492E2,4.816444779E1,1.155877819E1,5.135000267E2,5.177075386E0,8.043108506E1,6.000906205E0,6.000906205E0
1.047751468E2,4.816447702E1,1.155883966E1,5.135000267E2,5.182264328E0,8.172263285E1,8.001208274E0,8.001208274E0
1.057751454E2,4.816450379E1,1.155892415E1,5.135000267E2,5.177075386E0,7.738925349E1,6.000906205E0,6.000906205E0
1.067751434E2,4.816452736E1,1.155900760E1,5.135000267E2,5.077695370E0,7.739021654E1,6.000906205E0,6.000906205E0
1.077751418E2,4.816454240E1,1.155908386E1,5.135000267E2,5.044358730E0,7.815725362E1,6.000906205E0,6.000906205E0
1.087751405E2,4.816455833E1,1.155917071E1,5.135000267E2,5.547389984E0,7.937114899E1,6.000906205E0,6.000906205E0
