"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
8.569078660E1,4.816593884E1,1.155331567E1,5.153145853E2,5.717072010E0,7.463502239E0,6.000906205E0,6.000906205E0
8.669078028E1,4.816599839E1,1.155333025E1,5.153840888E2,5.401304722E0,8.519632192E0,6.000906205E0,6.000906205E0
8.769077528E1,4.816604982E1,1.155335240E1,5.154276236E2,5.401304722E0,9.852015977E0,6.000906205E0,6.000906205E0
8.869076955E1,4.816609397E1,1.155336585E1,5.154547737E2,5.000491142E0,1.094666051E1,6.000906205E0,6.000906205E0
8.969076431E1,4.816612658E1,1.155337465E1,5.154717709E2,5.118190289E0,1.067171637E1,6.000906205E0,6.000906205E0
9.069075906E1,4.816617342E1,1.155339922E1,5.154823696E2,5.400671959E0,1.080398469E1,6.000906205E0,6.000906205E0
9.169075298E1,4.816622780E1,1.155341980E1,5.154889775E2,5.400671959E0,1.086130705E1,4.000604137E0,4.000604137E0
9.269074750E1,4.816627850E1,1.155342918E1,5.154931540E2,5.400671959E0,1.117190308E1,4.000604137E0,4.000604137E0
9.369074178E1,4.816632775E1,1.155345513E1,5.154957139E2,5.483661175E0,1.198940159E1,4.000604137E0,4.000604137E0
9.469073629E1,4.816637856E1,1.155347887E1,5.154973432E2,5.696411610E0,1.355799807E1,4.000604137E0,4.000604137E0
9.569073117E1,4.816642548E1,1.155350920E1,5.154983301E2,5.696411610E0,1.901142345E1,4.000604137E0,4.000604137E0
9.669072556E1,4.816647424E1,1.155354402E1,5.155434728E2,5.477922440E0,1.923532559E1,4.000604137E0,4.000604137E0
9.769072008E1,4.816651290E1,1.155357112E1,5.156354382E2,5.157533169E0,1.874748616E1,4.000604137E0,4.000604137E0
9.869071853E1,4.816655708E1,1.155359049E1,5.157462583E2,5.157533169E0,1.826399756E1,4.000604137E0,4.000604137E0
9.969070876E1,4.816660201E1,1.155360136E1,5.158745644E2,5.494077206E0,1.718635080E1,4.000604137E0,4.000604137E0
1.006907034E2,4.816664751E1,1.155362113E1,5.160152759E2,5.494077206E0,1.804402107E1,4.000604137E0,4.000604137E0
1.016906973E2,4.816669130E1,1.155364338E1,5.161532179E2,5.145155430E0,1.919076373E1,4.000604137E0,4.000604137E0
1.026906928E2,4.816673400E1,1.155366521E1,5.162397416E2,4.906877518E0,2.233077074E1,4.000604137E0,4.000604137E0
1.036906871E2,4.816677568E1,1.155369232E1,5.162672904E2,4.882826328E0,2.392216383E1,6.000906205E0,6.000906205E0
1.046906809E2,4.816681682E1,1.155372655E1,5.162488417E2,4.840804100E0,2.584628106E1,6.000906205E0,6.000906205E0
1.056906760E2,4.816686093E1,1.155376771E1,5.161921201E2,4.840804100E0,2.686306570E1,6.000906205E0,6.000906205E0
1.066906695E2,4.816690501E1,1.155380503E1,5.161021279E2,4.810017586E0,2.823857189E1,6.000906205E0,6.000906205E0
1.076906645E2,4.816694325E1,1.155385221E1,5.159950757E2,4.810017586E0,2.992929472E1,6.000906205E0,6.000906205E0
1.086906587E2,4.816698476E1,1.155388531E1,5.158657181E2,4.944723129E0,3.079368931E1,6.000906205E0,6.000906205E0
1.096906537E2,4.816702617E1,1.155392259E1,5.157384147E2,5.187224388E0,2.941712274E1,6.000906205E0,6.000906205E0
1.106906475E2,4.816706883E1,1.155394773E1,5.156499336E2,5.312608719E0,2.921936485E1,6.000906205E0,6.000906205E0
1.116906421E2,4.816711864E1,1.155401014E1,5.155937344E2,5.187224388E0,3.298621760E1,6.000906205E0,6.000906205E0
1.126906369E2,4.816715573E1,1.155405561E1,5.155585613E2,4.794501781E0,3.527702889E1,6.000906205E0,6.000906205E0
